,Trip ID,time,summary,precipIntensity,precipProbability,temperature,apparentTemperature,windSpeed,icon,Taxi ID,Trip Start Timestamp,Trip End Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Fare,Tips,Tolls,Extras,Trip Total,Payment Type,Pickup Centroid Latitude,Pickup Centroid Longitude,day,temp range
0,bc6f08423e9f194cb63a0d5ec6c6a2dea001e914,01:45:00,Partly Cloudy,0.0,0.0,43.39,40.05,5.59,partly cloudy,07a82232d832859a7dcb1c40846bb3e21acb2c84755ef64d3cf349674bf1cf057582e21b50b2f5ac9c97e8cecd808912cff26ee1b048f47af3554a48a7e956d1,2013-11-16T01:45:00,11/16/2013 01:45:00 AM,480.0,0.15,8.0,7.05,0.0,0.0,1.0,8.05,Cash,41.907412816,-87.640901525,2013-11-16,43.39
1,b2e0ede2b0d907551beda4e8b4b83c143010f63d,04:45:00,Overcast,0.0005,0.14,53.4,53.4,1.25,cloudy,74605d6aa0c8ba08190a5824f79ef27172c59671b005826cfd31ea1bc4811d36bf8223ffdee4c34e656d97b1fc1c54040cff648beb24db031462e30b1249084c,2016-09-28T04:45:00,09/28/2016 04:45:00 PM,420.0,0.0,32.0,6.75,2.0,0.0,0.0,8.75,Credit Card,41.880994471,-87.632746489,2016-09-28,53.4
2,c2155aedc41a27673cd498d0fea754a18132d7f9,07:15:00,Mostly Cloudy,0.0,0.0,7.2,-4.92,7.53,partly cloudy,4243ab34318764eb5ca51054af503c610b50579594cef68ac23c345d0d921ca06e6462b9a75ff9cc70aa3ed06c15afb5835889255393a3f48a97d9e83125785f,2013-12-10T07:15:00,12/10/2013 07:30:00 AM,720.0,1.8,28.0,8.44,0.0,0.0,0.0,8.44,Cash,41.879255084,-87.642648998,2013-12-10,7.2
3,c1e860354f05150021e1bdeb7696314ca3e15608,09:00:00,Clear,0.0,0.0,5.96,-5.93,7.04,clear,65e345a16c02e0408409d6d71a7a5cb09449e5c84c16d0fcf5f125805bf53d4250e05521a768e515f1df9c7fa3c78f50b528607364939d8fba775b23cdde1a1b,2014-02-27T09:00:00,02/27/2014 09:45:00 AM,2700.0,0.0,8.0,39.25,8.45,0.0,3.0,50.7,Credit Card,41.902788048000005,-87.62614559,2014-02-27,5.96
4,bdff93a935333338e6f2f04f778ad7713a36c9ad,04:15:00,Clear,0.0,0.0,43.05,43.05,1.8,clear,8ca267f2246008a052c14ce8c81001149d86916ab274d33787e4c9f9022fb92854fc528cbc327165dc18328b4159164c7465a5fc315b2d04266018fe4619bc7a,2016-10-31T04:15:00,10/31/2016 04:15:00 PM,660.0,3.0,32.0,11.0,2.0,0.0,0.0,13.5,Credit Card,41.878865584,-87.625192142,2016-10-31,43.05
5,be7313b87f53e20b46020458e7b019c58f80b223,09:30:00,Partly Cloudy,0.0,0.0,78.07,79.21,3.38,partly cloudy,87bb9f5f7f5f1b84620d05e616b62323c2aa945795ccda53e755c7f1c23e7a94f37dfaa005ee66378c317209df35b9d01f4e11186bec1db6b52d5eb7343e6cd5,2016-06-15T09:30:00,06/15/2016 09:45:00 AM,540.0,1.2,28.0,7.0,1.0,0.0,0.0,8.5,Credit Card,41.874005383000004,-87.66351755,2016-06-15,78.07
6,b08cec8ff3328356d388071edbfcf3f0405edfc6,06:45:00,Overcast,0.0,0.0,55.65,55.65,4.99,cloudy,b0eee68bd58686cc729cf46fa27d775dac55168754f3c7407f5d5b41944354452ff9fdb7f17c21c72b857537f710dc2ce81592170282f97dcb57ca78dd490806,2013-09-16T06:45:00,09/16/2013 06:45:00 PM,600.0,1.5,28.0,7.85,0.0,0.0,0.0,7.85,Cash,41.879255084,-87.642648998,2013-09-16,55.65
7,c189e7f30cc51e0eb24c7ddbf6d4c9adbdd9f2a7,11:45:00,Partly Cloudy,0.0,0.0,29.46,18.98,13.41,partly cloudy,c08461ef71e4e0f58fc9c2148cec4f79f67db2e569625bae3196b06959564c3344d1436f8243d3784374db936289cd4838aa456644a056db5ac882b98d3a89bd,2014-02-21T11:45:00,02/21/2014 11:45:00 PM,120.0,0.05,7.0,4.25,0.0,0.0,1.5,5.75,Cash,41.926811182,-87.642605247,2014-02-21,29.46
8,bc486809fdc9602698d026865cbfffafccbc0d11,02:15:00,Clear,0.0,0.0,39.14,34.19,6.85,clear,29e9c1f8071508e15fe99c12fae2e0e25949a618458f2383199a9c5e18f97a7d72aa451fb97144a238872d24e5a74e997334afa08827eee4ca45b4aa15e539ad,2013-01-19T02:15:00,01/19/2013 02:30:00 AM,1080.0,0.0,8.0,11.65,0.0,0.0,2.0,13.65,Cash,41.904935302,-87.64990722600002,2013-01-19,39.14
9,b40db62cca32924d1b26ee28ea29b5dab6ccb242,10:45:00,Partly Cloudy,0.0,0.0,44.89,41.36,6.4,partly cloudy,a073b00b9ddc06e8def846986d51a0fef6f465fc87a061e1af5522c5e371dd08ee92ca6912e3c5ace3ae1b05e9512c1b61e9fc981cc7d82ec48d682adc733f05,2014-12-26T10:45:00,12/26/2014 11:00:00 PM,480.0,3.5,6.0,9.85,0.0,0.0,1.5,11.35,Cash,41.936310131,-87.651562592,2014-12-26,44.89
10,c200c2db3839e47997cf9fb7b18beb792c0d931a,01:00:00,Mostly Cloudy,0.0,0.0,67.34,67.34,0.43,partly cloudy,398e9ade4dcb28cfd9fc422739cf04efedce1853f93cc73b4767b495e38661f0f5bf118712ac49370ca238216c0caed5693809a245213c4adedcf67b8c743645,2015-07-22T01:00:00,07/22/2015 01:30:00 PM,1080.0,9.4,8.0,21.45,0.0,0.0,1.0,22.45,Cash,41.899602111,-87.633308037,2015-07-22,67.34
11,bfbea0ad4dd6bd17c0ee4dfd5609eec8109d7955,08:30:00,Clear,0.0,0.0,52.12,52.12,2.88,clear,6551ba527f916e0b8187165d7e61705fc2641c9b3afd699f8bcf626970b1b9a9716a4602a084a254d9bcce8912eae21472ce82742c2479742528dfe7328309c7,2014-09-16T08:30:00,09/16/2014 08:30:00 PM,660.0,4.5,8.0,11.65,0.0,0.0,0.0,11.65,Cash,41.890922026,-87.618868355,2014-09-16,52.12
12,bb0f39973c72dfd3e11adbcd4fdfdd67d38f2bed,05:00:00,Clear,0.0,0.0,69.85,70.36,1.37,clear,5e555d00a5ef0548fdcd16e7c3bbdd6e5bc604c88aa9d0eac602f14ff56e2a28aa3bb82cd3c594452ea4622c7df7096da2b5a89576362dc620dd040a9328d290,2013-08-21T05:00:00,08/21/2013 05:15:00 PM,360.0,0.0,8.0,5.65,0.0,0.0,0.0,5.65,Cash,41.892072635,-87.62887415700001,2013-08-21,69.85
13,b4829b714d09aecc90a6711ad21fda8719a2f166,10:00:00,Mostly Cloudy,0.0,0.0,9.66,-4.42,10.64,partly cloudy,dc5cee229b76c5da48c87dd388fa845941c54103cd1a63cc90d4d803b665582984d80cb9211edb2516bbdd95e930fcfe846a3693bb345aa6332968f415a6d23d,2014-01-24T10:00:00,01/24/2014 10:15:00 PM,900.0,0.2,6.0,12.85,0.0,0.0,0.0,12.85,Cash,41.943155086,-87.640698076,2014-01-24,9.66
14,be172a6f93ca9d56058c1f9fc7b8eeeb42089127,07:45:00,Overcast,0.0,0.0,2.78,-8.08,5.61,cloudy,2f8c51760f8358b29119959a9a4864d3d320e18a642b598248ccab958908a1da90ed708a7665d4a22a6c0c986b048239e4cd8fcff79c744d5ea2713259678b6a,2013-12-12T07:45:00,12/12/2013 08:00:00 AM,420.0,1.1,8.0,6.05,3.0,0.0,0.0,9.05,Credit Card,41.892507781,-87.626214906,2013-12-12,2.78
15,bb19b588252dd3c638d6592975dd8538ebe979ce,08:45:00,Mostly Cloudy,0.0,0.0,66.73,67.4,0.5,partly cloudy,9838f45c6be7f689f4ddc29641a52a53cbce279ee47a4cc4492b87ea8f06a56e04a5d6428c70f4c47b73b645feaa69f74c7cb666054f2a54372b4ffa44b873e8,2014-05-21T08:45:00,05/21/2014 08:45:00 PM,360.0,0.0,8.0,6.05,0.0,0.0,0.0,6.05,Cash,41.904935302,-87.64990722600002,2014-05-21,66.73
16,beab727ded9c0abd2b33c29824e0b8c8a6d908eb,10:45:00,Overcast,0.0,0.0,52.63,52.63,7.83,cloudy,c26be0dcb7cc401ccdb793704bbfdcd52382b372cbf8bdd8b6b620b4c780ea5b8eb72b1d51fd0095da119822a31b1719ba56700ae390fb7126b41bce87291824,2015-10-03T10:45:00,10/03/2015 10:45:00 AM,300.0,1.9,8.0,7.45,0.0,0.0,0.0,7.45,Cash,41.902788048000005,-87.62614559,2015-10-03,52.63
17,b77e1d03a0f5d03d49af7c55e5f013b742ee4e22,10:00:00,Clear,0.0,0.0,42.85,42.85,2.46,clear,c5413bfff1890928896ad075f97b23d6bd9fcfaaf924d46817dae93cf69a3507265e8d9754baf41a7d43cc2c882ef7a2bd25e7d810b829b977c01c198f624cae,2017-02-27T10:00:00,02/27/2017 10:30:00 AM,1680.0,7.7,76.0,24.5,0.0,0.0,0.0,24.5,Cash,41.980264315,-87.913624596,2017-02-27,42.85
18,c02a2889527c89aa6800b83f32f273290c117a47,01:00:00,Mostly Cloudy,0.0,0.0,47.07,47.07,0.41,partly cloudy,0f07954be58458f9b85eaf8289d6b45c4192475ec42dc50fe92e7417e192e97b8502eb4654ccf31bd48a69e0496347ce91946c8d26c4359c21b0ce5506ed7fb0,2014-10-22T01:00:00,10/22/2014 01:15:00 PM,780.0,0.1,24.0,9.85,0.0,0.0,0.0,9.85,Cash,41.901206994,-87.676355989,2014-10-22,47.07
19,bde8f47d0410046762c8b4da7705f7472624afc8,08:00:00,Drizzle,0.0078,0.7,34.14,30.32,4.22,rain,4f189764b8d9b6f71f7936ab414cac07634be0a00790ca179f9460521b7c9c3e5e102f5ba4e1c9cd18cdd9856dbf4f66ae8f13d8c82f8d2d4872f74b96938a24,2013-03-09T08:00:00,03/09/2013 08:15:00 PM,360.0,0.0,32.0,6.05,0.0,0.0,1.0,7.05,Cash,41.877406123,-87.62197165200001,2013-03-09,34.14
20,b49b66720f34137d3fe63595429bb609f510dad6,11:30:00,Partly Cloudy,0.0,0.0,63.44,63.44,4.15,partly cloudy,6016b0135a5b60e32ad2e80047a169b355ec28512797c85175a099d27327baf805c467047d492282c1d80e93ca6db2fda1011bc3629ed63e65024649b26cb8af,2013-04-27T11:30:00,04/28/2013 12:00:00 AM,1080.0,5.7,22.0,15.85,0.0,0.0,1.0,16.85,Credit Card,41.92276062,-87.69915534299999,2013-04-27,63.44
21,c0005e69004ca05d96967be23fc5dd2e54d050dd,12:15:00,Overcast,0.0,0.0,15.17,5.51,6.68,cloudy,4864601f96d54f4cf49dbf644d3ed67f3d7298f0dec20b44e78856ef064208a70977d6706cdd904a2b5b4b8bbffeaa46eb489067260e1cabea91a0663002c812,2013-12-15T12:15:00,12/15/2013 12:30:00 AM,780.0,0.1,7.0,9.45,2.05,0.0,1.0,12.5,Credit Card,41.921877461,-87.66407824,2013-12-15,15.17
