,day,icon,Trip ID,precipIntensity,precipProbability,temperature,apparentTemperature,windSpeed,Trip Seconds,Trip Miles,Fare,Trip Total
0,2013-01-01,cloudy,2,0.0,0.0,19.675,13.114999999999998,4.5649999999999995,300.0,0.05,6.05,7.05
1,2013-01-01,partly cloudy,3,0.0,0.0,18.596666666666664,12.803333333333333,3.8533333333333335,680.0,1.8100000000000003,12.25,13.25
2,2013-01-02,clear,1,0.0,0.0,11.49,11.49,2.55,540.0,2.36,8.05,11.05
3,2013-01-03,cloudy,3,0.0,0.0,26.070000000000004,20.78333333333333,4.383333333333333,540.0,0.03333333333333333,7.516666666666667,9.016666666666667
4,2013-01-04,clear,6,0.0,0.0,17.561666666666667,8.576666666666666,6.521666666666666,530.0,0.6333333333333334,9.683333333333334,10.016666666666667
5,2013-01-05,clear,1,0.0,0.0,22.9,22.9,2.67,780.0,2.9,9.85,10.85
6,2013-01-05,partly cloudy,1,0.0,0.0,37.31,32.64,5.89,1260.0,11.4,24.65,29.55
7,2013-01-06,cloudy,3,0.0,0.0,30.070000000000004,23.400000000000002,6.673333333333333,540.0,1.3,7.783333333333334,9.283333333333333
8,2013-01-07,clear,2,0.0,0.0,21.915,15.16,5.0649999999999995,1020.0,1.9,10.75,10.75
9,2013-01-08,partly cloudy,3,0.0,0.0,33.82333333333333,29.98,4.23,540.0,0.6,8.85,10.183333333333334
10,2013-01-09,clear,1,0.0,0.0,36.65,31.34,6.63,360.0,7.9,5.65,5.65
11,2013-01-10,clear,1,0.0,0.0,28.51,28.51,0.22,720.0,2.98,9.85,13.35
12,2013-01-10,partly cloudy,1,0.0,0.0,28.08,28.08,0.96,300.0,1.2,5.85,5.85
13,2013-01-11,cloudy,2,0.0018499999999999999,0.27,50.515,50.515,6.75,300.0,1.5,6.75,6.75
14,2013-01-12,partly cloudy,5,0.0,0.0,48.879999999999995,47.239999999999995,7.714,480.0,0.96,7.410000000000001,8.21
15,2013-01-13,cloudy,2,0.0,0.0,29.515,27.6,2.5949999999999998,360.0,1.05,6.95,6.95
16,2013-01-14,clear,3,0.0,0.0,12.69,8.75,3.046666666666667,520.0,0.3666666666666667,9.049999999999999,10.383333333333335
17,2013-01-14,partly cloudy,2,0.0,0.0,22.645,22.645,1.33,240.0,0.9,5.35,5.35
18,2013-01-16,clear,2,0.0,0.0,22.895,18.814999999999998,4.575,480.0,1.3,6.65,6.65
19,2013-01-17,clear,3,0.0,0.0,27.25666666666667,21.636666666666667,4.913333333333333,640.0,17.966666666666665,10.183333333333332,11.85
20,2013-01-18,clear,1,0.0,0.0,19.26,19.26,0.39,840.0,0.1,18.45,39.95
21,2013-01-18,partly cloudy,3,0.0,0.0,22.566666666666663,20.653333333333332,3.223333333333333,800.0,7.866666666666666,18.313333333333333,19.98
22,2013-01-19,clear,1,0.0,0.0,39.14,34.19,6.85,1080.0,0.0,11.65,13.65
23,2013-01-19,partly cloudy,1,0.0,0.0,45.13,40.3,9.24,480.0,1.3,6.85,8.85
24,2013-01-20,clear,3,0.0,0.0,15.273333333333333,5.26,7.156666666666666,660.0,0.13333333333333333,13.316666666666665,16.7
25,2013-01-20,partly cloudy,1,0.0,0.0,15.07,6.01,6.06,420.0,1.1,7.25,8.25
26,2013-01-21,partly cloudy,1,0.0,0.0,10.33,-1.54,8.0,1080.0,3.1,11.65,12.65
27,2013-01-22,clear,1,0.0,0.0,0.75,-8.41,4.23,360.0,0.0,5.85,5.85
28,2013-01-22,partly cloudy,2,0.0,0.0,4.62,-5.425,5.275,300.0,1.185,5.75,5.75
29,2013-01-23,cloudy,1,0.0,0.0,13.58,5.94,4.61,240.0,0.0,4.85,4.85
