,summary,new time,Trip ID,precipIntensity,precipProbability,temperature,apparentTemperature,windSpeed
0,Clear,2013-01-04,4,0.0,0.0,16.6825,7.5874999999999995,6.432499999999999
1,Clear,2013-01-07,1,0.0,0.0,21.58,15.01,4.84
2,Clear,2013-01-14,1,0.0,0.0,12.43,7.12,3.03
3,Clear,2013-01-16,2,0.0,0.0,22.895,18.814999999999998,4.575
4,Clear,2013-01-18,1,0.0,0.0,19.26,19.26,0.39
5,Clear,2013-01-19,1,0.0,0.0,39.14,34.19,6.85
6,Clear,2013-01-20,1,0.0,0.0,14.03,3.25,7.66
7,Clear,2013-01-22,1,0.0,0.0,0.75,-8.41,4.23
8,Clear,2013-01-26,2,0.0002,0.035,20.645,16.925,3.2
9,Clear,2013-02-01,1,0.0,0.0,1.66,-10.16,6.21
10,Clear,2013-02-13,3,0.0,0.0,29.203333333333333,28.180000000000003,2.293333333333333
11,Clear,2013-02-15,1,0.0,0.0,29.57,23.95,5.3
12,Clear,2013-02-16,4,0.0,0.0,15.857499999999998,8.2375,4.9525
13,Clear,2013-02-17,1,0.0,0.0,11.67,11.67,1.69
14,Clear,2013-02-20,4,0.0,0.0,9.705,-0.10750000000000001,5.83
15,Clear,2013-02-24,2,0.0002,0.09,27.095,25.58,2.9450000000000003
16,Clear,2013-03-03,2,0.00035,0.06,24.905,22.865000000000002,2.8649999999999998
17,Clear,2013-03-04,1,0.0,0.0,20.41,20.41,0.56
18,Clear,2013-03-14,2,0.0,0.0,24.23,24.23,1.265
19,Clear,2013-03-19,1,0.0,0.0,25.78,15.04,11.86
20,Clear,2013-03-20,1,0.0,0.0,15.73,6.57,6.28
21,Clear,2013-03-21,2,0.0,0.0,23.505000000000003,16.66,5.42
22,Clear,2013-03-22,3,0.0,0.0,26.973333333333333,26.973333333333333,1.6300000000000001
23,Clear,2013-03-28,1,0.0,0.0,42.98,42.98,2.57
24,Clear,2013-03-29,1,0.0,0.0,51.37,51.37,1.12
25,Clear,2013-03-30,1,0.0,0.0,31.38,31.38,0.0
26,Clear,2013-03-31,2,0.0,0.0,51.25,49.855000000000004,6.87
27,Clear,2013-04-02,4,0.0,0.0,28.855,25.817500000000003,3.4724999999999997
28,Clear,2013-04-03,4,0.0,0.0,32.445,31.0375,2.2625
29,Clear,2013-04-05,4,0.0,0.0,41.2375,37.025,6.4025
30,Clear,2013-04-07,1,0.0,0.0,54.15,54.15,2.71
31,Clear,2013-04-20,7,2.8571428571428574e-05,0.002857142857142857,35.09428571428571,30.415714285714284,5.362857142857143
32,Clear,2013-04-21,4,0.0,0.0,34.362500000000004,34.362500000000004,1.64
33,Clear,2013-04-22,1,0.0,0.0,55.47,55.47,5.09
34,Clear,2013-04-26,1,0.0,0.0,39.3,39.3,1.36
35,Clear,2013-04-27,2,0.0,0.0,48.41,48.41,0.965
36,Clear,2013-04-29,2,0.0,0.0,52.83,52.83,2.135
37,Clear,2013-05-01,3,0.0,0.0,74.04333333333334,74.04333333333334,4.633333333333333
38,Clear,2013-05-04,1,0.0,0.0,48.21,48.21,0.98
39,Clear,2013-05-08,1,0.0,0.0,50.19,50.19,0.18
40,Clear,2013-05-12,2,0.0,0.0,41.805,40.025,3.3600000000000003
41,Clear,2013-05-13,2,0.0,0.0,52.400000000000006,52.400000000000006,1.21
42,Clear,2013-05-14,1,0.0,0.0,56.23,56.23,4.84
43,Clear,2013-05-16,1,0.0,0.0,58.07,58.07,0.04
44,Clear,2013-05-18,1,0.0,0.0,62.88,62.88,1.59
45,Clear,2013-05-19,3,0.0,0.0,60.60666666666666,60.60666666666666,0.11666666666666668
46,Clear,2013-05-24,6,0.0,0.0,43.31166666666667,40.84666666666667,4.398333333333333
47,Clear,2013-06-03,2,0.0,0.0,43.42,43.42,0.09000000000000001
48,Clear,2013-06-08,5,0.0,0.0,61.78000000000001,61.78000000000001,0.354
49,Clear,2013-06-11,1,0.0,0.0,70.67,71.12,2.34
50,Clear,2013-06-12,1,0.0,0.0,69.36,69.96,0.86
